SX,AD,FORM,ACU,HOM,BAIN,TC,Tma,Tme,TR,MED,SPA,PARA,COD,NUB,PEC,AMFORM,QFORMACU,QFORMHYP,QFORMSOPHRO,QFORMTP,QFORMHAPTO,QFORMHOMEO,QFORMRELAX,PP,Dans quel établissement exercez vous ? 
2,2005,0,3,0,0,2,4,0,1,5,1,0,2,3,1,1,0,1,0,0,0,0,0,0,Selestat
2,1993,1,3,0,0,2,0,0,1,4,1,0,2,3,1,1,0,0,0,0,0,1,1,0,Selestat
2,2012,0,0,0,3,2,4,5,1,6,1,2,3,4,4,1,0,0,0,1,0,1,0,0,Type 3
2,2006,1,2,0,3,4,5,0,6,1,1,0,2,3,4,1,0,1,0,0,0,1,1,0,Type 3
2,2012,0,2,7,4,2,5,6,1,3,1,2,3,4,2,1,1,0,0,1,0,0,0,0,Type 3
2,2004,0,2,2,2,3,3,3,3,1,1,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,0,Type 3
2,2007,1,4,4,3,2,2,0,1,5,1,1,2,3,1,1,0,1,1,0,0,0,0,0,Type 3
2,2013,0,0,0,2,1,3,4,2,5,1,1,1,2,3,1,0,0,0,1,0,0,0,0,Type 3
2,2001,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,type 2
2,2002,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,0,type 2
2,1998,1,2,4,5,1,8,7,6,3,1,0,2,0,2,1,1,1,1,1,1,1,1,1,type 2
2,1994,1,1,1,1,1,0,1,1,2,1,1,1,0,2,1,0,1,0,0,0,0,0,1,type 2
2,1990,1,2,0,1,1,0,0,1,3,1,0,0,2,1,1,0,1,0,1,0,0,1,0,Type 3
2,1988,0,0,0,1,2,0,0,1,3,1,2,0,3,2,1,1,1,0,0,0,1,1,0,Type 3
2,2012,0,0,0,2,1,0,0,1,3,1,0,0,2,2,1,1,1,0,0,0,0,0,0,Type 3
2,2010,0,0,0,3,2,0,0,1,4,1,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,1,Type 3
2,1998,1,4,0,3,2,0,0,1,5,0,1,0,2,4,1,0,1,0,0,0,1,0,0,HUS
2,1995,0,0,0,1,1,0,0,1,2,1,2,0,3,3,1,0,1,0,1,0,0,0,1,Strasbourg
2,2012,1,0,4,3,2,0,0,1,5,1,0,0,2,3,1,0,0,0,1,0,0,1,0,Type 3
