SX,AD,FORM,DHYP,DPAN,DACU,DTP,DHOM,DSOP,DRELAX,ACU,HOM,BAIN,TC,Tma,Tme,TR,MED,NB,SPA,PARA,COD,NUB,PEC,AMFORM,QFORMACU,QFORMHYP,QFORMSOPHRO,QFORMTP,QFORMHAPTO,QFORMHOMEO,QFORMRELAX,PP,TYP
2,2001,1,0,0,1,0,0,0,0,1,3,2,4,5,8,6,7,7,1,2,0,3,4,1,0,1,0,0,0,0,0,0,Type 3
2,1995,2,0,0,0,0,0,0,0,2,0,1,3,0,5,3,4,6,1,1,0,0,4,1,0,1,1,0,1,1,1,0,type 2
2,1987,1,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,8,1,1,0,3,1,1,0,1,0,0,0,1,0,0,NA
2,2014,2,0,0,0,0,0,0,0,0,1,4,2,3,3,1,5,7,1,0,0,2,4,1,1,0,0,1,0,0,0,0,type 2
2,2009,1,0,0,1,0,0,0,0,6,0,2,3,4,0,1,5,6,1,2,0,0,1,NA,0,0,0,1,0,0,1,1,type 2
2,1998,1,0,0,1,0,1,0,0,4,2,3,1,0,0,1,5,6,1,0,0,2,1,1,0,1,1,0,0,0,0,0,type 2
2,2003,2,0,0,0,0,0,0,0,6,0,4,2,3,2,1,5,7,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,type 2
2,2011,2,0,0,0,0,0,0,0,3,0,2,5,6,0,1,4,6,1,2,0,0,1,1,1,0,1,0,1,0,0,0,type 2
2,2006,2,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,4,1,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,1,type 2
2,1999,1,0,0,1,1,0,0,0,6,0,4,2,5,0,1,3,6,1,0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,Type 3
2,2005,1,0,0,1,0,0,0,0,3,0,2,1,0,0,4,5,5,1,2,0,3,2,1,0,1,0,0,0,0,0,0,type 2
2,1987,1,0,0,1,0,0,0,0,3,0,3,1,0,0,2,4,5,1,1,0,2,1,1,0,1,0,0,0,1,0,0,NA
2,2010,2,0,0,0,0,0,0,0,0,0,3,2,5,0,1,4,5,1,1,0,4,2,1,1,1,1,0,0,0,0,0,type 2
2,2001,1,0,0,0,1,0,0,0,6,1,4,3,5,0,2,0,6,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,0,type 2
2,2004,1,0,0,1,0,0,0,0,3,0,2,1,6,0,5,4,6,1,1,0,0,1,1,0,1,0,0,0,0,0,1,Type 3
2,2013,2,0,0,0,0,0,0,0,5,7,1,2,6,8,3,4,8,1,1,0,0,1,1,1,0,0,1,0,0,1,0,Type 3
2,2012,1,0,0,0,0,0,0,1,0,0,3,2,4,5,1,6,6,0,0,0,0,2,1,1,1,0,0,0,1,0,0,type 2
2,1995,2,0,0,0,0,0,0,0,2,0,1,3,0,0,5,4,5,1,2,0,0,2,1,1,1,0,0,0,1,0,0,type 2
2,2007,2,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,3,1,2,3,4,2,1,1,0,1,0,0,1,0,0,type 2
2,2003,1,0,0,1,0,0,0,0,0,0,2,1,3,0,0,4,4,1,1,0,0,4,1,0,1,0,1,0,0,1,0,Type 3
2,2011,2,0,0,0,0,0,0,0,4,0,2,1,5,6,3,2,7,1,1,0,0,2,1,1,0,0,0,0,1,0,1,type 2
2,2009,2,0,0,0,0,0,0,0,3,0,2,1,5,0,4,6,6,1,2,0,3,4,1,0,1,1,0,1,1,1,0,type 2
2,1985,1,0,0,1,0,0,0,0,4,0,3,1,2,0,5,7,8,1,1,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,0,Type 3
2,2004,1,0,0,1,0,0,0,0,4,0,3,1,5,0,2,6,6,1,1,0,2,2,1,0,0,0,1,0,0,1,0,NA
2,1992,2,0,0,0,0,0,0,0,9,8,1,3,6,4,5,7,8,1,2,0,3,4,1,1,0,0,0,1,0,0,0,NA
